  Planet      Mass         x          y          z         vx         vy         vz     
  Mercury   1.65E-07   -3.88E-01  -1.32E-01  2.47E-02   1.23E+00   -9.26E+00  -8.69E-01 
   Venus    2.45E-06   3.49E-01   -6.37E-01  -2.89E-02  6.45E+00   3.49E+00   -3.24E-01 
   Earth    3.00E-06   8.67E-01   4.98E-01   -1.81E-04  -3.22E+00  5.43E+00   -3.47E-04 
   Mars     3.23E-07   1.22E+00   -6.44E-01  -4.37E-02  2.59E+00   4.95E+00   4.02E-02  
  Jupiter   9.54E-04   -5.42E+00  -5.11E-01  1.23E-01   2.26E-01   -2.61E+00  5.80E-03  
  Saturn    2.86E-04   -2.23E+00  -9.78E+00  2.59E-01   1.87E+00   -4.58E-01  -6.67E-02 
  Uranus    4.37E-05   1.85E+01   7.59E+00   -2.11E-01  -5.57E-01  1.26E+00   1.19E-02  
  Neptune   5.15E-05   2.83E+01   -9.90E+00  -4.48E-01  3.71E-01   1.09E+00   -3.11E-02 
